index,Año,Trimestre,Provincia,Mbps (Media de bajada)
630,2017,4,Corrientes,10,38
631,2017,4,Entre Ríos,9,30
632,2017,4,Formosa,10,11
633,2017,4,Jujuy,6,64
634,2017,4,La Pampa,3,98
635,2017,4,La Rioja,5,88
636,2017,4,Mendoza,5,71
637,2017,4,Misiones,11,32
638,2017,4,Neuquén,10,72
639,2017,4,Río Negro,8,05
640,2017,4,Salta,8,45
641,2017,4,San Juan,5,83
642,2017,4,San Luis,5,73
643,2017,4,Santa Cruz,5,21
644,2017,4,Santa Fe,10,30
645,2017,4,Santiago Del Estero,6,17
646,2017,4,Tierra Del Fuego,5,20
647,2017,4,Tucumán,9,11
648,2017,3,Buenos Aires,8,43
649,2017,3,Capital Federal,10,64
650,2017,3,Catamarca,5,26
651,2017,3,Chaco,8,48
652,2017,3,Chubut,3,48
653,2017,3,Córdoba,9,12
654,2017,3,Corrientes,7,45
655,2017,3,Entre Ríos,6,99
656,2017,3,Formosa,7,07
657,2017,3,Jujuy,4,69
658,2017,3,La Pampa,3,44
659,2017,3,La Rioja,5,01
660,2017,3,Mendoza,3,51
661,2017,3,Misiones,8,43
662,2017,3,Neuquén,8,17
663,2017,3,Río Negro,5,49
664,2017,3,Salta,6,13
665,2017,3,San Juan,3,45
666,2017,3,San Luis,3,50
667,2017,3,Santa Cruz,3,61
668,2017,3,Santa Fe,7,79
669,2017,3,Santiago Del Estero,5,18
670,2017,3,Tierra Del Fuego,3,48
671,2017,3,Tucumán,6,39
672,2017,2,Buenos Aires,7,20
673,2017,2,Capital Federal,8,84
674,2017,2,Catamarca,5,10
675,2017,2,Chaco,7,69
676,2017,2,Chubut,3,45
677,2017,2,Córdoba,7,42
678,2017,2,Corrientes,6,79
679,2017,2,Entre Ríos,6,29
680,2017,2,Formosa,6,18
681,2017,2,Jujuy,4,54
682,2017,2,La Pampa,3,32
683,2017,2,La Rioja,5,53
684,2017,2,Mendoza,3,51
685,2017,2,Misiones,7,60
686,2017,2,Neuquén,6,70
687,2017,2,Río Negro,4,74
688,2017,2,Salta,5,76
689,2017,2,San Juan,3,49
690,2017,2,San Luis,3,50
691,2017,2,Santa Cruz,3,60
692,2017,2,Santa Fe,6,84
693,2017,2,Santiago Del Estero,5,06
694,2017,2,Tierra Del Fuego,3,48
695,2017,2,Tucumán,6,09
696,2017,1,Buenos Aires,6,68
697,2017,1,Capital Federal,8,35
698,2017,1,Catamarca,4,97
699,2017,1,Chaco,7,31
700,2017,1,Chubut,3,44
701,2017,1,Córdoba,6,80
702,2017,1,Corrientes,6,43
703,2017,1,Entre Ríos,5,95
704,2017,1,Formosa,5,74
705,2017,1,Jujuy,4,39
706,2017,1,La Pampa,3,22
707,2017,1,La Rioja,5,43
708,2017,1,Mendoza,3,51
709,2017,1,Misiones,7,34
710,2017,1,Neuquén,6,03
711,2017,1,Río Negro,4,45
712,2017,1,Salta,5,34
713,2017,1,San Juan,3,49
714,2017,1,San Luis,3,50
715,2017,1,Santa Cruz,3,59
716,2017,1,Santa Fe,6,28
717,2017,1,Santiago Del Estero,4,95
718,2017,1,Tierra Del Fuego,3,48
719,2017,1,Tucumán,5,88
720,2016,4,Buenos Aires,6,35
721,2016,4,Capital Federal,7,96
722,2016,4,Catamarca,4,89
723,2016,4,Chaco,7,08
724,2016,4,Chubut,3,41
725,2016,4,Córdoba,6,47
726,2016,4,Corrientes,6,24
727,2016,4,Entre Ríos,5,81
728,2016,4,Formosa,5,63
729,2016,4,Jujuy,4,32
730,2016,4,La Pampa,3,19
731,2016,4,La Rioja,5,34
732,2016,4,Mendoza,3,51
733,2016,4,Misiones,7,11
734,2016,4,Neuquén,5,68
735,2016,4,Río Negro,4,37
736,2016,4,Salta,5,22
737,2016,4,San Juan,3,49
738,2016,4,San Luis,3,50
739,2016,4,Santa Cruz,3,56
740,2016,4,Santa Fe,6,04
741,2016,4,Santiago Del Estero,4,87
742,2016,4,Tierra Del Fuego,3,48
743,2016,4,Tucumán,5,73
744,2016,3,Buenos Aires,5,91
745,2016,3,Capital Federal,7,38
746,2016,3,Catamarca,4,73
747,2016,3,Chaco,6,72
748,2016,3,Chubut,3,34
749,2016,3,Córdoba,6,07
750,2016,3,Corrientes,5,96
751,2016,3,Entre Ríos,5,59
752,2016,3,Formosa,5,42
753,2016,3,Jujuy,4,22
754,2016,3,La Pampa,3,14
755,2016,3,La Rioja,5,08
756,2016,3,Mendoza,3,51
757,2016,3,Misiones,6,74
758,2016,3,Neuquén,5,29
759,2016,3,Río Negro,4,16
760,2016,3,Salta,5,05
761,2016,3,San Juan,3,49
762,2016,3,San Luis,3,50
763,2016,3,Santa Cruz,3,54
764,2016,3,Santa Fe,5,68
765,2016,3,Santiago Del Estero,4,67
766,2016,3,Tierra Del Fuego,3,48
767,2016,3,Tucumán,5,54
768,2016,2,Buenos Aires,5,42
769,2016,2,Capital Federal,6,58
770,2016,2,Catamarca,4,36
771,2016,2,Chaco,6,30
772,2016,2,Chubut,3,34
773,2016,2,Córdoba,5,52
774,2016,2,Corrientes,5,60
775,2016,2,Entre Ríos,5,13
776,2016,2,Formosa,5,10
777,2016,2,Jujuy,3,84
778,2016,2,La Pampa,3,15
779,2016,2,La Rioja,4,77
780,2016,2,Mendoza,3,50
781,2016,2,Misiones,6,23
782,2016,2,Neuquén,4,87
783,2016,2,Río Negro,3,98
784,2016,2,Salta,4,75
785,2016,2,San Juan,3,49
786,2016,2,San Luis,3,50
787,2016,2,Santa Cruz,3,50
788,2016,2,Santa Fe,5,14
789,2016,2,Santiago Del Estero,4,31
790,2016,2,Tierra Del Fuego,3,48
791,2016,2,Tucumán,5,20
792,2016,1,Buenos Aires,4,99
793,2016,1,Capital Federal,6,05
794,2016,1,Catamarca,4,20
